,Postal Code,Borough,Neighborhood
0,M1A,Not assigned,
1,M1B,Scarborough,"Malvern, Rouge"
2,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek"
3,M1E,Scarborough,"Guildwood, Morningside, West Hill"
4,M1G,Scarborough,Woburn
5,M1H,Scarborough,Cedarbrae
6,M1J,Scarborough,Scarborough Village
7,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
8,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge"
9,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West"
10,M1N,Scarborough,"Birch Cliff, Cliffside West"
11,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
12,M1R,Scarborough,"Wexford, Maryvale"
13,M1S,Scarborough,Agincourt
14,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
15,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
16,M1W,Scarborough,"Steeles West, L'Amoreaux West"
17,M1X,Scarborough,Upper Rouge
18,M1Y,Not assigned,
19,M1Z,Not assigned,
20,M2A,Not assigned,
21,M2B,Not assigned,
22,M2C,Not assigned,
23,M2E,Not assigned,
24,M2G,Not assigned,
25,M2H,North York,Hillcrest Village
26,M2J,North York,"Fairview, Henry Farm, Oriole"
27,M2K,North York,Bayview Village
28,M2L,North York,"York Mills, Silver Hills"
29,M2M,North York,"Willowdale, Newtonbrook"
30,M2N,North York,Willowdale
31,M2P,North York,York Mills West
32,M2R,North York,Willowdale
33,M2S,Not assigned,
34,M2T,Not assigned,
35,M2V,Not assigned,
36,M2W,Not assigned,
37,M2X,Not assigned,
38,M2Y,Not assigned,
39,M2Z,Not assigned,
40,M3A,North York,Parkwoods
41,M3B,North York,Don Mills
42,M3C,North York,Don Mills
43,M3E,Not assigned,
44,M3G,Not assigned,
45,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North"
46,M3J,North York,"Northwood Park, York University"
47,M3K,North York,Downsview
48,M3L,North York,Downsview
49,M3M,North York,Downsview
50,M3N,North York,Downsview
51,M3P,Not assigned,
52,M3R,Not assigned,
53,M3S,Not assigned,
54,M3T,Not assigned,
55,M3V,Not assigned,
56,M3W,Not assigned,
57,M3X,Not assigned,
58,M3Y,Not assigned,
59,M3Z,Not assigned,
60,M4A,North York,Victoria Village
61,M4B,East York,"Parkview Hill, Woodbine Gardens"
62,M4C,East York,Woodbine Heights
63,M4E,East Toronto,The Beaches
64,M4G,East York,Leaside
65,M4H,East York,Thorncliffe Park
66,M4J,East York,East Toronto
67,M4K,East Toronto,"The Danforth West, Riverdale"
68,M4L,East Toronto,"India Bazaar, The Beaches West"
69,M4M,East Toronto,Studio District
70,M4N,Central Toronto,Lawrence Park
71,M4P,Central Toronto,Davisville North
72,M4R,Central Toronto,North Toronto West
73,M4S,Central Toronto,Davisville
74,M4T,Central Toronto,"Moore Park, Summerhill East"
75,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
76,M4W,Downtown Toronto,Rosedale
77,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
78,M4Y,Downtown Toronto,Church and Wellesley
79,M4Z,Not assigned,
80,M5A,Downtown Toronto,"Regent Park, Harbourfront"
81,M5B,Downtown Toronto,"Garden District, Ryerson"
82,M5C,Downtown Toronto,St. James Town
83,M5E,Downtown Toronto,Berczy Park
84,M5G,Downtown Toronto,Central Bay Street
85,M5H,Downtown Toronto,"Richmond, Adelaide, King"
86,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands"
87,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
88,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
89,M5M,North York,"Bedford Park, Lawrence Manor East"
90,M5N,Central Toronto,Roselawn
91,M5P,Central Toronto,Forest Hill North & West
92,M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
93,M5S,Downtown Toronto,"University of Toronto, Harbord"
94,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
95,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
96,M5W,Downtown Toronto,Stn A PO Boxes
97,M5X,Downtown Toronto,"First Canadian Place, Underground city"
98,M5Y,Not assigned,
99,M5Z,Not assigned,
100,M6A,North York,"Lawrence Manor, Lawrence Heights"
101,M6B,North York,Glencairn
102,M6C,York,Humewood-Cedarvale
103,M6E,York,Caledonia-Fairbanks
104,M6G,Downtown Toronto,Christie
105,M6H,West Toronto,"Dufferin, Dovercourt Village"
106,M6J,West Toronto,"Little Portugal, Trinity"
107,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
108,M6L,North York,"North Park, Maple Leaf Park, Upwood Park"
109,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
110,M6N,York,"Runnymede, The Junction North"
111,M6P,West Toronto,"High Park, The Junction South"
112,M6R,West Toronto,"Parkdale, Roncesvalles"
113,M6S,West Toronto,"Runnymede, Swansea"
114,M6T,Not assigned,
115,M6V,Not assigned,
116,M6W,Not assigned,
117,M6X,Not assigned,
118,M6Y,Not assigned,
119,M6Z,Not assigned,
120,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government"
121,M7B,Not assigned,
122,M7C,Not assigned,
123,M7E,Not assigned,
124,M7G,Not assigned,
125,M7H,Not assigned,
126,M7J,Not assigned,
127,M7K,Not assigned,
128,M7L,Not assigned,
129,M7M,Not assigned,
130,M7N,Not assigned,
131,M7P,Not assigned,
132,M7R,Mississauga,Canada Post Gateway Processing Centre
133,M7S,Not assigned,
134,M7T,Not assigned,
135,M7V,Not assigned,
136,M7W,Not assigned,
137,M7X,Not assigned,
138,M7Y,East Toronto,Business reply mail Processing Centre
139,M7Z,Not assigned,
140,M8A,Not assigned,
141,M8B,Not assigned,
142,M8C,Not assigned,
143,M8E,Not assigned,
144,M8G,Not assigned,
145,M8H,Not assigned,
146,M8J,Not assigned,
147,M8K,Not assigned,
148,M8L,Not assigned,
149,M8M,Not assigned,
150,M8N,Not assigned,
151,M8P,Not assigned,
152,M8R,Not assigned,
153,M8S,Not assigned,
154,M8T,Not assigned,
155,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
156,M8W,Etobicoke,"Alderwood, Long Branch"
157,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
158,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
159,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
160,M9A,Etobicoke,Islington Avenue
161,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
162,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
163,M9E,Not assigned,
164,M9G,Not assigned,
165,M9H,Not assigned,
166,M9J,Not assigned,
167,M9K,Not assigned,
168,M9L,North York,Humber Summit
169,M9M,North York,"Humberlea, Emery"
170,M9N,York,Weston
171,M9P,Etobicoke,Westmount
172,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
173,M9S,Not assigned,
174,M9T,Not assigned,
175,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
176,M9W,Etobicoke,Northwest
177,M9X,Not assigned,
178,M9Y,Not assigned,
179,M9Z,Not assigned,
